id,error,error_type,name,time,memory,username
15," ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"", &amp;T); ^~~~~~~~~~~~~~~ aplusb.c:10:3: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d%d"", &amp;a, &amp;b); ^~~~~~~~~~~~~~~~~~~~~ ",WA,C,0.076871976,780,betatest07
22," ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"", &amp;N); ^~~~~~~~~~~~~~~ aplusb.c:11:3: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%ld %ld"", &amp;a, &amp;b); ^~~~~~~~~~~~~~~~~~~~~~~~ ",WA,C,0.083717258,780,betatest07
26," ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ ",WA,C,0.004173518,780,betatest19
107," ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"", &amp;N); ^~~~~~~~~~~~~~~ ",WA,C,0.007571691,780,betatest07
138," ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"", &amp;K); ^~~~~~~~~~~~~~~ ",WA,C,0.004061810999999999,780,betatest07
178," return type of ‘main’ is not ‘int’ [-Wmain] void main(){ ^~~~ aplusb.c: In function ‘main’: aplusb.c:4:5: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%lld"",&amp;n); ^~~~~~~~~~~~~~~~ aplusb.c:6:9: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%lld %lld"",&amp;a,&amp;b); ^~~~~~~~~~~~~~~~~~~~~~~~ ",WA,C,0.07943370799999999,780,u4cse16143
184," ‘return’ with no value, in function returning non-void return; ^~~~~~ aplusb.c:2:5: note: declared here int main(){ ^~~~ aplusb.c:4:5: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%lld"",&amp;n); ^~~~~~~~~~~~~~~~ aplusb.c:6:9: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%lld %lld"",&amp;a,&amp;b); ^~~~~~~~~~~~~~~~~~~~~~~~ ",WA,C,0.07572506400000001,780,u4cse16143
187," ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%lld"",&amp;n); ^~~~~~~~~~~~~~~~ aplusb.c:6:9: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%lld %lld"",&amp;a,&amp;b); ^~~~~~~~~~~~~~~~~~~~~~~~ ",WA,C,0.07961412,780,u4cse16143
191," ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;t); ^~~~~~~~~~~~~~ aplusb.c:9:9: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d %d"",&amp;a,&amp;b); ^~~~~~~~~~~~~~~~~~~~ ",WA,C,0.09858812300000001,780,u4cse16103
204," ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;t); ^~~~~~~~~~~~~~ aplusb.c:9:9: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;a); ^~~~~~~~~~~~~~ aplusb.c:10:9: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;b); ^~~~~~~~~~~~~~ ",WA,C,0.082413698,780,u4cse16103
206," return type of ‘main’ is not ‘int’ [-Wmain] void main() ^~~~ aplusb.c: In function ‘main’: aplusb.c:5:5: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ aplusb.c:8:8: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d %d"",&amp;a,&amp;b); ^~~~~~~~~~~~~~~~~~~~ ",WA,C,0.08264749,780,u4cse16102
209," ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;t); ^~~~~~~~~~~~~~ aplusb.c:9:9: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;a); ^~~~~~~~~~~~~~ aplusb.c:10:9: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;b); ^~~~~~~~~~~~~~ ",WA,C,0.083240578,780,u4cse16103
210," return type of ‘main’ is not ‘int’ [-Wmain] void main() ^~~~ aplusb.c: In function ‘main’: aplusb.c:12:12: ‘return’ with a value, in function returning void return 0; ^ aplusb.c:2:6: note: declared here void main() ^~~~ aplusb.c:5:5: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ aplusb.c:8:8: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d %d"",&amp;a,&amp;b); ^~~~~~~~~~~~~~~~~~~~ ",WA,C,0.08527850599999999,780,u4cse16102
227," ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;a); ^~~~~~~~~~~~~~ aplusb.c:11:10: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;b); ^~~~~~~~~~~~~~ ",WA,C,0.015321018,780,u4cse16109
232," ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ aplusb.c:9:9: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;a); ^~~~~~~~~~~~~~ aplusb.c:11:9: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;b); ^~~~~~~~~~~~~~ ",WA,C,0.096053592,780,u4cse16165
235," ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;a); ^~~~~~~~~~~~~~ aplusb.c:11:10: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;b); ^~~~~~~~~~~~~~ ",WA,C,0.012432941999999999,780,u4cse16109
247," ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;t); ^~~~~~~~~~~~~~ encoding.c:7:9: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ encoding.c:8:9: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%s"",str); ^~~~~~~~~~~~~~~ ",WA,C,0.009020538,780,u4cse16143
248," ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ aplusb.c:11:9: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d %d"",&amp;a[i],&amp;b[i]); ^~~~~~~~~~~~~~~~~~~~~~~~~~ ",WA,C,0.09125146099999999,2700,u4cse16140
249," ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;num); ^~~~~~~~~~~~~~~~ ",WA,C,0.0063594440000000006,780,u4cse16103
