error,error_type,time,memory
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%ld"", &amp;N); ^~~~~~~~~~~~~~~~ aplusb.c:8:3: ",AC,0.075650242,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%ld %ld"", &amp;a, &amp;b); ^~~~~~~~~~~~~~~~~~~~~~~~ ",AC,0.075650242,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;t); ^~~~~~~~~~~~~~ aplusb.c:8:1: ",AC,0.096679217,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d %d"",&amp;a,&amp;b); ^~~~~~~~~~~~~~~~~~~~ ",AC,0.096679217,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"", &amp;T); ^~~~~~~~~~~~~~~ aplusb.c:10:3: ",WA,0.076871976,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d%d"", &amp;a, &amp;b); ^~~~~~~~~~~~~~~~~~~~~ ",WA,0.076871976,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;t); ^~~~~~~~~~~~~~ aplusb.c:8:3: ",AC,0.082614414,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d %d"",&amp;a,&amp;b); ^~~~~~~~~~~~~~~~~~~~ ",AC,0.082614414,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"", &amp;N); ^~~~~~~~~~~~~~~ aplusb.c:11:3: ",WA,0.083717258,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%ld %ld"", &amp;a, &amp;b); ^~~~~~~~~~~~~~~~~~~~~~~~ ",WA,0.083717258,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%ld"", &amp;N); ^~~~~~~~~~~~~~~~ ",AC,0.004023075,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ ",WA,0.004173518,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;t); ^~~~~~~~~~~~~~ ",AC,0.003529603,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%ld"", &amp;x); ^~~~~~~~~~~~~~~~ ",AC,0.031494719,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;t); ^~~~~~~~~~~~~~ ",AC,0.005256776,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"", &amp;N); ^~~~~~~~~~~~~~~ ",TLE,2.022623337,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;t); ^~~~~~~~~~~~~~ ",AC,0.003067197,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%ld"", &amp;N); ^~~~~~~~~~~~~~~~ ",AC,0.003792176,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%ld"", &amp;N); ^~~~~~~~~~~~~~~~ ",AC,0.011807713,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"", &amp;N); ^~~~~~~~~~~~~~~ ",WA,0.007571691,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"", &amp;N); ^~~~~~~~~~~~~~~ ",AC,0.00946012,780
" unused variable ‘j’ [-Wunused-variable] int n,i,j; ^ phi.c:16:2: ",AC,0.046783729,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ ",AC,0.046783729,780
" unused variable ‘j’ [-Wunused-variable] int n,i,j; ^ phi.c:16:2: ",AC,0.044596069,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ ",AC,0.044596069,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"", &amp;K); ^~~~~~~~~~~~~~~ ",WA,0.004061811,780
 return type of ‘main’ is not ‘int’ [-Wmain] void main(){ ^~~~ aplusb.c: In function ‘main’: aplusb.c:4:5: ,WA,0.079433708,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%lld"",&amp;n); ^~~~~~~~~~~~~~~~ aplusb.c:6:9: ",WA,0.079433708,780
