id,error,error_type,name,time,memory,username
330," ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ ",WA,C,0.00394583,780,u4cse16102
334," ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ ",WA,C,0.003724617,780,u4cse16103
338," ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ ",WA,C,0.003410577,780,u4cse16103
2859," unknown type name ‘import’; did you mean ‘short’? import java.util.*; ^~~~~~ short homework.c:1:12: expected ‘=’, ‘,’, ‘;’, ‘asm’ or ‘__attribute__’ before ‘.’ token import java.util.*; ^ homework.c:2:1: unknown type name ‘import’; did you mean ‘short’? import java.lang.*; ^~~~~~ short homework.c:2:12: expected ‘=’, ‘,’, ‘;’, ‘asm’ or ‘__attribute__’ before ‘.’ token import java.lang.*; ^ homework.c:3:1: unknown type name ‘import’; did you mean ‘short’? import java.io.*; ^~~~~~ short homework.c:3:12: expected ‘=’, ‘,’, ‘;’, ‘asm’ or ‘__attribute__’ before ‘.’ token import java.io.*; ^ homework.c:4:1: unknown type name ‘class’ class Ideone ^~~~~ homework.c:5:1: expected ‘=’, ‘,’, ‘;’, ‘asm’ or ‘__attribute__’ before ‘{’ token { ^ ",WA,C,0.023151984,780,U4CSE17420
2867," unknown type name ‘import’; did you mean ‘short’? import java.util.*; ^~~~~~ short homework.c:1:12: expected ‘=’, ‘,’, ‘;’, ‘asm’ or ‘__attribute__’ before ‘.’ token import java.util.*; ^ homework.c:2:1: unknown type name ‘import’; did you mean ‘short’? import java.lang.*; ^~~~~~ short homework.c:2:12: expected ‘=’, ‘,’, ‘;’, ‘asm’ or ‘__attribute__’ before ‘.’ token import java.lang.*; ^ homework.c:3:1: unknown type name ‘import’; did you mean ‘short’? import java.io.*; ^~~~~~ short homework.c:3:12: expected ‘=’, ‘,’, ‘;’, ‘asm’ or ‘__attribute__’ before ‘.’ token import java.io.*; ^ homework.c:4:1: unknown type name ‘class’ class Ideone ^~~~~ homework.c:5:1: expected ‘=’, ‘,’, ‘;’, ‘asm’ or ‘__attribute__’ before ‘{’ token { ^ ",WA,C,0.017411756,780,U4CSE17420
2890," unused variable ‘max’ [-Wunused-variable] long int test,n,a[1000000],i,max,k,l,count=0; ^~~ sortingindex.c:6:5: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%ld"",&amp;test); ^~~~~~~~~~~~~~~~~~ sortingindex.c:10:9: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%ld%ld"",&amp;n,&amp;k); ^~~~~~~~~~~~~~~~~~~~~ sortingindex.c:13:13: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%ld"",&amp;a[i]); ^~~~~~~~~~~~~~~~~~ ",WA,C,0.019339907,780,U4CSE17420
34450," ignoring return value of 'scanf', declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ ",CI,C,0.005979852,780,kailashramesh
34451," ignoring return value of 'scanf', declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ ",AC,C,0.006275276,780,kailashramesh
39770," initializer element is not constant CustomInvocationc.c:2:3: expected ',' or ';' before 'print' print('Hi, %s.' % name) ^~~~~ CustomInvocationc.c:2:9: warning: character constant too long for its type print('Hi, %s.' % name) ^~~~~~~~~ CustomInvocationc.c:5:5: invalid preprocessing directive #Write # Write your code here ^~~~~ CustomInvocationc.c:9:4: invalid preprocessing directive #n #n=50 ^ CustomInvocationc.c:10:4: invalid preprocessing directive #arr #arr=[40,12,16,5,28,8,36,37,21,39,41,20,19,1,29,24,6,22,25,33,26,48,13,11,14,27,38,32,2,49,44,42,30,18,4,7,47,15,35,43,17,45,50,9,23,10,31,3,46,34] ^~~ ",WA,C,0.006681709,780,cbenu4cse17613
42211, return type of 'main' is not 'int' [-Wmain] void main(){ ^~~~ ,CI,C,0.005394323,780,ritwik
42222," expected declaration specifiers or '...' before string constant print(""hi"") ^~~~ ",CI,C,0.00396614,780,anupa
42224, expected ';' before 'return' return 0; ^~~~~~ ,CI,C,0.004047223,780,anupa
42225, expected ';' before 'return' return 0; ^~~~~~ ,CI,C,0.004861121,780,akash
42231, return type of 'main' is not 'int' [-Wmain] void main(){ ^~~~ ,CI,C,0.003499088,780,ritwik
42233, ld returned 1 exit status ,CI,C,0.003753691,780,ritwik
42238, expected ';' before '}' token } ^ ,CI,C,0.003551618,780,RamyaGR
42240, return type of 'main' is not 'int' [-Wmain] void main() ^~~~ ,CI,C,0.003697999,780,ss_priya
42246, return type of 'main' is not 'int' [-Wmain] void main(){ ^~~~ ,CI,C,0.003584232,780,akash
42247, return type of 'main' is not 'int' [-Wmain] void main(){ ^~~~ ,CI,C,0.003565503,780,akash
42249, return type of 'main' is not 'int' [-Wmain] void main(){ ^~~~ ,CI,C,0.003582158,780,akash
42255, return type of 'main' is not 'int' [-Wmain] void main(){ ^~~~ ,CI,C,0.003450549,780,abiramianup
42257, expected ';' before '}' token } ^ ,CI,C,0.003644875,780,abiramianup
