id,error,error_type,name,time,memory,username
203, conio.h: No such file or directory #include&lt;conio.h&gt; ^~~~~~~~~ compilation terminated. ,CE,C,0.0,0,u4cse16102
208, studio.h: No such file or directory #include &lt;studio.h&gt; ^~~~~~~~~~ compilation terminated. ,CE,C,0.0,0,u4cse16165
257, conio.h: No such file or directory #include&lt;conio.h&gt; ^~~~~~~~~ compilation terminated. ,CE,C,0.0,0,u4cse16163
359, conio.: No such file or directory #include&lt;conio.&gt; ^~~~~~~~ compilation terminated. ,CE,C,0.0,0,pottiabhinay_2001
360, conio.h: No such file or directory #include&lt;conio.h&gt; ^~~~~~~~~ compilation terminated. ,CE,C,0.0,0,pottiabhinay_2001
409, conio.h: No such file or directory #include&lt;conio.h&gt; ^~~~~~~~~ compilation terminated. ,CE,C,0.0,0,pottiabhinay_2001
459, iostream.h: No such file or directory #include &lt;iostream.h&gt; ^~~~~~~~~~~~ compilation terminated. ,CE,C,0.0,0,Harshavardhini
460, iostream: No such file or directory #include &lt;iostream&gt; ^~~~~~~~~~ compilation terminated. ,CE,C,0.0,0,Harshavardhini
520, conio.h: No such file or directory #include&lt;conio.h&gt; ^~~~~~~~~ compilation terminated. ,CE,C,0.0,0,Skabdulgouse
692, iostream: No such file or directory #include &lt;iostream&gt; ^~~~~~~~~~ compilation terminated. ,CE,C,0.0,0,sudarshancode2709
695, iostream: No such file or directory #include &lt;iostream&gt; ^~~~~~~~~~ compilation terminated. ,CE,C,0.0,0,sudarshancode2709
721, conio.h: No such file or directory #include&lt;conio.h&gt; ^~~~~~~~~ compilation terminated. ,CE,C,0.0,0,Skabdulgouse
796, iostream: No such file or directory #include &lt;iostream&gt; ^~~~~~~~~~ compilation terminated. ,CE,C,0.0,0,sudarshancode2709
797, iostream: No such file or directory #include &lt;iostream&gt; ^~~~~~~~~~ compilation terminated. ,CE,C,0.0,0,sudarshancode2709
798, iostream.h: No such file or directory #include &lt;iostream.h&gt; ^~~~~~~~~~~~ compilation terminated. ,CE,C,0.0,0,sudarshancode2709
826, bits/stdc++.h: No such file or directory #include&lt;bits/stdc++.h&gt; ^~~~~~~~~~~~~~~ compilation terminated. ,CE,C,0.0,0,sudarshancode2709
982, bits/stdc++.h: No such file or directory #include&lt;bits/stdc++.h&gt; ^~~~~~~~~~~~~~~ compilation terminated. ,CE,C,0.0,0,sudarshancode2709
983, bits/stdc++.h: No such file or directory #include&lt;bits/stdc++.h&gt; ^~~~~~~~~~~~~~~ compilation terminated. ,CE,C,0.0,0,sudarshancode2709
2350, iostream: No such file or directory #include&lt;iostream&gt; ^~~~~~~~~~ compilation terminated. ,CE,C,0.0,0,U4CSE17403
2537, conio.h: No such file or directory #include&lt;conio.h&gt; ^~~~~~~~~ compilation terminated. ,CE,C,0.0,0,U4CSE17410
2666, iostream: No such file or directory #include&lt;iostream&gt; ^~~~~~~~~~ compilation terminated. ,CE,C,0.0,0,U4CSE17263
2778, iostream: No such file or directory #include&lt;iostream&gt; ^~~~~~~~~~ compilation terminated. ,CE,C,0.0,0,U4CSE17366
2779, iostream.h: No such file or directory #include&lt;iostream.h&gt; ^~~~~~~~~~~~ compilation terminated. ,CE,C,0.0,0,U4CSE17366
3373, bits/stdc++.h: No such file or directory #include &lt;bits/stdc++.h&gt; ^~~~~~~~~~~~~~~ compilation terminated. ,CE,C,0.0,0,U4CSE17226
3385, bits/std++.h: No such file or directory #include&lt;bits/std++.h&gt; ^~~~~~~~~~~~~~ compilation terminated. ,CE,C,0.0,0,U4CSE17429
3420, bits/stdc++.h: No such file or directory #include&lt;bits/stdc++.h&gt; ^~~~~~~~~~~~~~~ compilation terminated. ,CE,C,0.0,0,U4CSE17429
3517, bits/stdc++.h: No such file or directory #include &lt;bits/stdc++.h&gt; ^~~~~~~~~~~~~~~ compilation terminated. ,CE,C,0.0,0,U4CSE17226
4149, bits/stdc++.h: No such file or directory #include&lt;bits/stdc++.h&gt; ^~~~~~~~~~~~~~~ compilation terminated. ,CE,C,0.0,0,U4CSE17244
4693, bits/stdc++.h: No such file or directory #include &lt;bits/stdc++.h&gt; ^~~~~~~~~~~~~~~ compilation terminated. ,CE,C,0.0,0,U4CSE17454
5006, bits/stdc++.h: No such file or directory #include &lt;bits/stdc++.h&gt; ^~~~~~~~~~~~~~~ compilation terminated. ,CE,C,0.0,0,U4CSE17153
5050, bits/stdc++.h: No such file or directory #include&lt;bits/stdc++.h&gt; ^~~~~~~~~~~~~~~ compilation terminated. ,CE,C,0.0,0,U4CSE17038
5056, bits/stdc++.h: No such file or directory #include &lt;bits/stdc++.h&gt; ^~~~~~~~~~~~~~~ compilation terminated. ,CE,C,0.0,0,U4CSE17151
