id,error,error_type,name,time,memory,username,Time limit exceeded,Memory limit exceeded,Object Linking errors,Other Runtime errors
72," ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"", &amp;N); ^~~~~~~~~~~~~~~ ",TLE,C,2.022623337,780,betatest07,0,0,0,0
198," implicit declaration of function ‘scanf’ [-Wimplicit-function-declaration] n= scanf(""%d"",n); ^~~~~ aplusb.c:4:7: incompatible implicit declaration of built-in function ‘scanf’ aplusb.c:4:7: note: include ‘&lt;stdio.h&gt;’ or provide a declaration of ‘scanf’ aplusb.c:4:15: format ‘%d’ expects argument of type ‘int *’, but argument 2 has type ‘int’ [-Wformat=] n= scanf(""%d"",n); ~^ aplusb.c:7:22: format ‘%d’ expects argument of type ‘int *’, but argument 2 has type ‘int’ [-Wformat=] int a =scanf(""%d"",a); ~^ aplusb.c:8:21: format ‘%d’ expects argument of type ‘int *’, but argument 2 has type ‘int’ [-Wformat=] int b=scanf(""%d"",b); ~^ aplusb.c:9:7: implicit declaration of function ‘printf’ [-Wimplicit-function-declaration] printf(""%d"",(a+b)); ^~~~~~ aplusb.c:9:7: incompatible implicit declaration of built-in function ‘printf’ aplusb.c:9:7: note: include ‘&lt;stdio.h&gt;’ or provide a declaration of ‘printf’ aplusb.c:4:5: ‘n’ is used uninitialized in this function [-Wuninitialized] n= scanf(""%d"",n); ~^~~~~~~~~~~~~~~ aplusb.c:8:11: ‘b’ may be used uninitialized in this function [-Wmaybe-uninitialized] int b=scanf(""%d"",b); ^ aplusb.c:7:11: ‘a’ may be used uninitialized in this function [-Wmaybe-uninitialized] int a =scanf(""%d"",a); ^ ",RTE,C,0.7257586340000001,780,u4cse16165,0,0,0,0
202," implicit declaration of function ‘scanf’ [-Wimplicit-function-declaration] n= scanf(""%d"",n); ^~~~~ aplusb.c:4:7: incompatible implicit declaration of built-in function ‘scanf’ aplusb.c:4:7: note: include ‘&lt;stdio.h&gt;’ or provide a declaration of ‘scanf’ aplusb.c:4:15: format ‘%d’ expects argument of type ‘int *’, but argument 2 has type ‘int’ [-Wformat=] n= scanf(""%d"",n); ~^ aplusb.c:7:22: format ‘%d’ expects argument of type ‘int *’, but argument 2 has type ‘int’ [-Wformat=] int a =scanf(""%d"",a); ~^ aplusb.c:8:21: format ‘%d’ expects argument of type ‘int *’, but argument 2 has type ‘int’ [-Wformat=] int b=scanf(""%d"",b); ~^ aplusb.c:9:7: implicit declaration of function ‘printf’ [-Wimplicit-function-declaration] printf(""%d"",(a+b)); ^~~~~~ aplusb.c:9:7: incompatible implicit declaration of built-in function ‘printf’ aplusb.c:9:7: note: include ‘&lt;stdio.h&gt;’ or provide a declaration of ‘printf’ aplusb.c:4:5: ‘n’ is used uninitialized in this function [-Wuninitialized] n= scanf(""%d"",n); ~^~~~~~~~~~~~~~~ aplusb.c:8:11: ‘b’ may be used uninitialized in this function [-Wmaybe-uninitialized] int b=scanf(""%d"",b); ^ aplusb.c:7:11: ‘a’ may be used uninitialized in this function [-Wmaybe-uninitialized] int a =scanf(""%d"",a); ^ ",RTE,C,0.702102798,780,u4cse16165,0,0,0,0
211," format ‘%d’ expects argument of type ‘int *’, but argument 2 has type ‘int’ [-Wformat=] n= scanf(""%d"",n); ~^ aplusb.c:9:17: format ‘%d’ expects argument of type ‘int *’, but argument 2 has type ‘int’ [-Wformat=] a=scanf(""%d"",a); ~^ aplusb.c:11:17: format ‘%d’ expects argument of type ‘int *’, but argument 2 has type ‘int’ [-Wformat=] b=scanf(""%d"",b); ~^ aplusb.c:11:8: ‘b’ may be used uninitialized in this function [-Wmaybe-uninitialized] b=scanf(""%d"",b); ~^~~~~~~~~~~~~~ aplusb.c:9:8: ‘a’ may be used uninitialized in this function [-Wmaybe-uninitialized] a=scanf(""%d"",a); ~^~~~~~~~~~~~~~ ",RTE,C,0.756909515,780,u4cse16165,0,0,0,0
212," format ‘%d’ expects argument of type ‘int *’, but argument 2 has type ‘int’ [-Wformat=] n= scanf(""%d"",n); ~^ aplusb.c:9:17: format ‘%d’ expects argument of type ‘int *’, but argument 2 has type ‘int’ [-Wformat=] a=scanf(""%d"",a); ~^ aplusb.c:11:17: format ‘%d’ expects argument of type ‘int *’, but argument 2 has type ‘int’ [-Wformat=] b=scanf(""%d"",b); ~^ ",RTE,C,0.799090781,780,u4cse16165,0,0,0,0
226," return type of ‘main’ is not ‘int’ [-Wmain] void main() ^~~~ aplusb.c: In function ‘main’: aplusb.c:6:13: format ‘%d’ expects argument of type ‘int *’, but argument 2 has type ‘int’ [-Wformat=] scanf(""%d"",n); ~^ aplusb.c:11:17: format ‘%d’ expects a matching ‘int *’ argument [-Wformat=] scanf(""%d %d,a[i],b[i]""); ~^ aplusb.c:11:20: format ‘%d’ expects a matching ‘int *’ argument [-Wformat=] scanf(""%d %d,a[i],b[i]""); ~^ aplusb.c:6:5: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",n); ^~~~~~~~~~~~~ aplusb.c:11:9: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d %d,a[i],b[i]""); ^~~~~~~~~~~~~~~~~~~~~~~~ aplusb.c:6:5: ‘n’ is used uninitialized in this function [-Wuninitialized] scanf(""%d"",n); ^~~~~~~~~~~~~ ",RTE,C,0.8106345209999999,780,u4cse16140,0,0,0,0
228," return type of ‘main’ is not ‘int’ [-Wmain] void main() ^~~~ aplusb.c: In function ‘main’: aplusb.c:11:17: format ‘%d’ expects a matching ‘int *’ argument [-Wformat=] scanf(""%d %d,&amp;a[i],&amp;b[i]""); ~^ aplusb.c:11:20: format ‘%d’ expects a matching ‘int *’ argument [-Wformat=] scanf(""%d %d,&amp;a[i],&amp;b[i]""); ~^ aplusb.c:6:5: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ aplusb.c:11:9: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d %d,&amp;a[i],&amp;b[i]""); ^~~~~~~~~~~~~~~~~~~~~~~~~~ ",RTE,C,0.784205017,780,u4cse16140,0,0,0,0
234," return type of ‘main’ is not ‘int’ [-Wmain] void main() ^~~~ aplusb.c: In function ‘main’: aplusb.c:11:17: format ‘%d’ expects a matching ‘int *’ argument [-Wformat=] scanf(""%d %d,&amp;a[i],&amp;b[i]""); ~^ aplusb.c:11:20: format ‘%d’ expects a matching ‘int *’ argument [-Wformat=] scanf(""%d %d,&amp;a[i],&amp;b[i]""); ~^ aplusb.c:6:5: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ aplusb.c:11:9: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d %d,&amp;a[i],&amp;b[i]""); ^~~~~~~~~~~~~~~~~~~~~~~~~~ #‘target_mem_ref’ not supported by expression#’aplusb.c:12:15: may be used uninitialized in this function [-Wmaybe-uninitialized] k[i]=a[i]+b[i]; ~^~~ #‘target_mem_ref’ not supported by expression#’aplusb.c:12:20: may be used uninitialized in this function [-Wmaybe-uninitialized] k[i]=a[i]+b[i]; ~^~~ ",RTE,C,0.736909233,780,u4cse16140,0,0,0,0
238," return type of ‘main’ is not ‘int’ [-Wmain] void main() ^~~~ aplusb.c: In function ‘main’: aplusb.c:6:5: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ aplusb.c:11:9: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d %d"",&amp;a[i],&amp;b[i]); ^~~~~~~~~~~~~~~~~~~~~~~~~~ ",RTE,C,0.291079104,780,u4cse16140,0,0,0,0
239," ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ aplusb.c:11:9: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d %d"",&amp;a[i],&amp;b[i]); ^~~~~~~~~~~~~~~~~~~~~~~~~~ ",RTE,C,0.292890284,780,u4cse16140,0,0,0,0
